 Papers,Title,Monkey,Epoch,Brain areas,Main epoch,Note main epoch,Sensitive neurons,Layers,Number of neurons (number of sessions),"Grand CP, random seeds","CP (zero signal), random seeds","Grand CP, frozen seeds","CP (zero signal), frozen seeds",CP-P/N ratio slope,CP-P/N ratio intercept,Recording technique,Description of the stimulus,Task parameter,Difficulty parameter,Stimulus size tailored to neurons' RF,Ratio of stimulus size to RF size ,Non task parameters of stimulus tailored to neurons,Task parameters of stimulus tailored to neurons,How neurons' preferences were estimated,Stimulus duration(ms),Time window for CP calc (ms),Stimulus type,Task type,Reaction Time (RT) Task,"Bias in Sensitivities (proportion of neurons with d'>0, + is for Target 1) ",Perceptual learning exposure duration before data collection,Perceptual learning exposure duration during data collection,Lapse rate,Psych. kernel alignment with the task,Neurometric threshold,Psychometric threshold,N/P ratio,Neurometric threshold method,Choice made by,Predictibility of choice targets,Location of stimulus (deg visual angle),Symmetry of task sensitivity of neurons,Location of target 1(deg visual angle),Location of target 2(deg visual angle),CP-sensitivity: variable for sensitivity,CP-sensitivity: how measured,CP-sensitivity: result (pvalue),,,
,, monkey 2 (PF),1(all neurons),V2,1,,,,26,,,0.53,0.51(p = 0.48),0.046 (-0.25;0.34),0.49 (0.31;0.66),single electrode,drifting grating,orientation ,orientation,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,500,500,1 (not bi-stable),1 (fine discrimination),No,,7,10,4.2%,,,,1.81,Neuron-Anti-neuron*sqrt(2),Saccades,Fixed for the whole period,3.8,,"(-3.5,0)","(3.5,0)",,,,,,
,, monkey 1 (R),2(d' < 0),V1/V2,0,,,,43,,,,0.47( p = 0.13),,,single electrode,drifting grating,orientation ,orientation,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,500,500,1 (not bi-stable),1 (fine discrimination),No,,10,6,2.0%,,,,,Neuron-Anti-neuron*sqrt(2),Saccades,Fixed for the whole period,5,,"(-3.5,0)","(3.5,0)",,,,,,
,, monkey 1 (R),3(d' > 0),V1/V2,0,,,,71,,,,0.44 (p < 0.001),,,single electrode,drifting grating,orientation ,orientation,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,500,500,1 (not bi-stable),1 (fine discrimination),No,,10,6,4.1%,,,,,Neuron-Anti-neuron*sqrt(2),Saccades,Fixed for the whole period,5,,"(-3.5,0)","(3.5,0)",,,,,,
,, monkey 2 (PF),2(d' < 0),V1/V2,0,,,,48,,,,0.50(p = 0.84),,,single electrode,drifting grating,orientation ,orientation,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,500,500,1 (not bi-stable),1 (fine discrimination),No,,7,10,3.5%,,,,,Neuron-Anti-neuron*sqrt(2),Saccades,Fixed for the whole period,3.8,,"(-3.5,0)","(3.5,0)",,,,,,
,, monkey 2 (PF),3(d' > 0),V1/V2,0,,,,66,,,,0.5(p = 0.89),,,single electrode,drifting grating,orientation ,orientation,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,500,500,1 (not bi-stable),1 (fine discrimination),No,,7,10,4.2%,,,,,Neuron-Anti-neuron*sqrt(2),Saccades,Fixed for the whole period,3.8,,"(-3.5,0)","(3.5,0)",,,,,,
,, monkey 2 (PF),1(all neurons),V1/V2,4,CP-d',,,114,,,,0.5022807018,,,,,,,,,,,,,,,,,,,,,,,,,Neuron-Anti-neuron*sqrt(2),,,,,,,sensitivity,Spearman correlation,-0.01 (p = 0.92),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziemba et al. (2024),Neuronal and behavioral responses to naturalistic texture images in macaque monkeys, monkey 1 (R),1(all neurons),V1,1,,,,57,0.530(SEM = 0.006),0.537(SEM = 0.006),0.540(SEM = 0.013),,-0.29 (-0.65;0.063),0.56 (0.52; 0.6),single electrode,Synthetic texture,Strength of higher-order texture statistics,Strength of higher-order texture statistics,2 (population of neurons),~16,3 (not tailored),3 (not tailored),from task data,500,500,1 (not bi-stable),1 (fine discrimination),No,,3,14,3.4%,,,,16.7,Neuron-Anti-neuron*sqrt(2),Saccades,Fixed for the whole period,5.1,,"(-3.5,0)","(3.5,0)",,,,,,
,, monkey 1 (R),1(all neurons),V2,1,,,,96,0.516(SEM = 0.005),0.526(SEM = 0.005),0.530(SEM = 0.014),,0.08 (-0.1;0.26),0.51 (0.48; 0.55),single electrode,Synthetic texture,Strength of higher-order texture statistics,Strength of higher-order texture statistics,2 (population of neurons),~4,3 (not tailored),3 (not tailored),from task data,500,500,1 (not bi-stable),1 (fine discrimination),No,,3,14,2.1%,,,,10.4,Neuron-Anti-neuron*sqrt(2),Saccades,Fixed for the whole period,4.6,,"(-3.5,0)","(3.5,0)",,,,,,
,, monkey 2 (PF),1(all neurons),V1,1,,,,76,0.514(SEM = 0.004),0.504(SEM = 0.004),0.497(SEM = 0.011),,0.2 (-0.22; 0.62),0.49 (0.46; 0.52),single electrode,Synthetic texture,Strength of higher-order texture statistics,Strength of higher-order texture statistics,2 (population of neurons),~16,3 (not tailored),3 (not tailored),from task data,500,500,1 (not bi-stable),1 (fine discrimination),No,,8,10,4.1%,,,,29.3,Neuron-Anti-neuron*sqrt(2),Saccades,Fixed for the whole period,4.1,,"(-3.5,0)","(3.5,0)",,,,,,
