 Papers,Title,Monkey,Epoch,Brain areas,Main epoch,Note main epoch,Sensitive neurons,Layers,Number of neurons (number of sessions),"Grand CP, random seeds","CP (zero signal), random seeds","Grand CP, frozen seeds","CP (zero signal), frozen seeds",CP-P/N ratio slope,CP-P/N ratio intercept,Recording technique,Description of the stimulus,Task parameter,Difficulty parameter,Stimulus size tailored to neurons' RF,Ratio of stimulus size to RF size ,Non task parameters of stimulus tailored to neurons,Task parameters of stimulus tailored to neurons,How neurons' preferences were estimated,Stimulus duration(ms),Time window for CP calc (ms),Stimulus type,Task type,Reaction Time (RT) Task,"Bias in Sensitivities (proportion of neurons with d'>0, + is for Target 1) ",Perceptual learning exposure duration before data collection,Perceptual learning exposure duration during data collection,Lapse rate,Psych. kernel alignment with the task,Neurometric threshold,Psychometric threshold,N/P ratio,Neurometric threshold method,Choice made by,Predictibility of choice targets,Location of stimulus (deg visual angle),Symmetry of task sensitivity of neurons,Location of target 1(deg visual angle),Location of target 2(deg visual angle),CP-sensitivity: variable for sensitivity,CP-sensitivity: how measured,CP-sensitivity: result (pvalue),,,
,,A,"3(combined cues, opposite neurons)",MSTd,0,,,,8,0.500(SEM=0.025),,,,,,single electrode,moving platform/3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,2000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,14.458,0.9,16.06444444,Neuron-Anti-neuron,Saccades,Fixed for the whole period,whole visual field,,"(5, 0)","(-5, 0)",,,,,,
,,C,"1(combined cues, all neurons)",MSTd,1,,,,57,0.505(SEM=0.010),,,,0.144(0.012;0.275),0.487(0.462;0.511),single electrode,moving platform/3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,2000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,48.112,2.1,22.91047619,Neuron-Anti-neuron,Saccades,Fixed for the whole period,whole visual field,,"(5, 0)","(-5, 0)",,,,,,
,,C,"2(combined cues, congruent neurons)",MSTd,0,,,,5,0.565(SEM=0.023),,,,,,single electrode,moving platform/3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,2000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,8.128,2.1,3.87047619,Neuron-Anti-neuron,Saccades,Fixed for the whole period,whole visual field,,"(5, 0)","(-5, 0)",,,,,,
,,C,"3(combined cues, opposite neurons)",MSTd,0,,,,16,0.465(SEM=0.015),,,,,,single electrode,moving platform/3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,2000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,54.602,2.1,26.00095238,Neuron-Anti-neuron,Saccades,Fixed for the whole period,whole visual field,,"(5, 0)","(-5, 0)",,,,,,
,,A,"4(only visual, all neurons)",MSTd,1,,,,72,0.518(SEM=0.012),,,,0.206(0.101;0.311),0.476(0.445;0.506),single electrode,3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,2000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,20.816,1.3,16.01230769,Neuron-Anti-neuron,Saccades,Fixed for the whole period,whole visual field,,"(5, 0)","(-5, 0)",,,,,,
,,A,"5(only visual,  congruent neurons)",MSTd,0,,,,25,0.582(SEM=0.018),,,,,,single electrode,3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,2000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,6.209,1.3,4.776153846,Neuron-Anti-neuron,Saccades,Fixed for the whole period,whole visual field,,"(5, 0)","(-5, 0)",,,,,,
,,A,"6(only visual, opposite neurons)",MSTd,0,,,,8,0.420(SEM=0.036),,,,,,single electrode,3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,2000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,6.486,1.3,4.989230769,Neuron-Anti-neuron,Saccades,Fixed for the whole period,whole visual field,,"(5, 0)","(-5, 0)",,,,,,
,,C,"4(only visual, all neurons)",MSTd,1,,,,57,0.523(SEM=0.011),,,,-0.033(-0.127;0.061),0.529(0.501;0.558),single electrode,3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,2000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,62.160,3.2,19.425,Neuron-Anti-neuron,Saccades,Fixed for the whole period,whole visual field,,"(5, 0)","(-5, 0)",,,,,,
,,C,"5(only visual,  congruent neurons)",MSTd,0,,,,5,0.624(SEM=0.034),,,,,,single electrode,3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,2000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,14.510,3.2,4.534375,Neuron-Anti-neuron,Saccades,Fixed for the whole period,whole visual field,,"(5, 0)","(-5, 0)",,,,,,
,,C,"6(only visual, opposite neurons)",MSTd,0,,,,16,0.469(SEM=0.021),,,,,,single electrode,3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,2000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,13.963,3.2,4.3634375,Neuron-Anti-neuron,Saccades,Fixed for the whole period,whole visual field,,"(5, 0)","(-5, 0)",,,,,,
,,two combined,"1(combined cues, all neurons)",MSTd,4,CP-d',,,129,0.52(p=0.003),,,,,,,,,,,,,,,,,,,,,,,,,,,,Neuron-Anti-neuron,,,,,,,threshold,Spearman correlation, -0.31 (p < 0.0003),,,
,,two combined,"4(only visual, all neurons)",MSTd,4,CP-d',,,129,0.52(p=0.01),,,,,,,,,,,,,,,,,,,,,,,,,,,,Neuron-Anti-neuron,,,,,,,threshold,Spearman correlation,-0.1 (p > 0.2),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kim et al.  (2015),A Functional Link between MT Neurons and Depth Perception Based on Motion Parallax,two combined,1(all neurons),MT,2,different CP method,,,91,0.56(SEM = 0.01),0.57(SEM = 0.01),,,,,single electrode,monocular horizontally moving random dots with movement on the platform,near/far depth,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,9,,,,,,2.8 (SEM = 0.03),Neuron-Anti-neuron,Saccades,Fixed for the whole period,,,"(0,5)","(0,-5)",threshold,Spearman correlation,-0.11(p = 0.28),J Neurosci. 2015 Feb 11;35(6):2766-77,,
,,two combined,2(frozen seed sample),MT,2,different CP method,,,32,,0.59(SEM = 0.02),,0.58(SEM = 0.03),,,single electrode,monocular horizontally moving random dots with movement on the platform,near/far depth,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,9,,,,,,,Neuron-Anti-neuron,Saccades,Fixed for the whole period,,,"(0,5)","(0,-5)",,,,,,
,,1,1(all neurons),MT,1,,,,41,0.57(SEM=0.0132),,,,0.0515 (-0.0743; 0.1773),0.551 (0.494; 0.608),single electrode,monocular horizontally moving random dots with movement on the platform,near/far depth,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,,,,,72.7,26(SEM = 2.3),2.8,Neuron-Anti-neuron,Saccades,Fixed for the whole period,,,"(0,5)","(0,-5)",threshold,Spearman correlation,-0.107(p=0.5463),,,
,,2,1(all neurons),MT,1,,,,50,0.555(SEM=0.0132),,,,0.041 (-0.0528; 0.1348),0.537 (0.484; 0.589),single electrode,monocular horizontally moving random dots with movement on the platform,near/far depth,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,2000,2000,1 (not bi-stable),2 (coarse discrimination),No,,,,,,93.3,26.4(SEM = 1.7),3.53,Neuron-Anti-neuron,Saccades,Fixed for the whole period,,,"(0,5)","(0,-5)",threshold,Spearman correlation,"-0.324(p=0.0303)
-0.107(p=0.5463)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kim et al. (2022),A neural mechanism for detecting object motion during self-motion,M1,1(all neurons),MT,1,,,,39,,0.59(p<0.001),,,,,single electrode,moving square planar of random dots,moving vs stationary,depth difference between binocular disparity and motion paralax,1 (individual neuron RF),,2 (population of neurons),3 (not tailored),not applicable,2100,2100,1 (not bi-stable),4 (detection),No,not aplicable,,,around 7%,,,,,,Saccades,varied session by session,,,stimulus location,symetric to stimulus location relative to fixation point,,,,Elife. 2022 Jun 1;11:e74971,,
,,M2,1(all neurons),MT,1,,,,53,,0.53(p = 0.03),,,,,single electrode,moving square planar object of random dots,moving vs stationary,depth difference between binocular disparity and motion paralax,1 (individual neuron RF),,2 (population of neurons),3 (not tailored),not applicable,2100,2100,1 (not bi-stable),4 (detection),No,not aplicable,,,around 7%,,,,,,Saccades,varied session by session,,,stimulus location,symetric to stimulus location relative to fixation point,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaidel et al. (2017),Decoupled choice-driven and stimulus-related activity in parietal neurons may be misrepresented by choice probabilities,Y,"1(only visual, all neurons)",MSTd,0,,0,,133,0.5042(0.4787-0.5297),,,,0.005(-0.050;0.059),0.506(0.477;0.535),Linear probe,3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,>>1,Neuron-Anti-neuron,Saccades,Fixed for the whole period,whole visual field,,"(7,0)","(-7,0)",,,,Nat Commun. 2017 Sep 28;8(1):715,,
,,Al,"1(only visual, all neurons)",MSTd,0,,0,,27,0.4852(0.4079-0.5625),,,,-0.118(-0.525;0.288),0.505(0.398;0.613),Linear probe,3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,>>1,Neuron-Anti-neuron,Saccades,Fixed for the whole period,whole visual field,,"(7,0)","(-7,0)",,,,,,
,,Y,2(only vestibular all neurons),MSTd,0,,0,,146,0.5323(0.5106-0.554),,,,0.226(0.050;0.402),0.511(0.484;0.538),Linear probe,moving platform,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,>>1,Neuron-Anti-neuron,Saccades,Fixed for the whole period,not aplicable,,"(7,0)","(-7,0)",,,,,,
,,Al,2(only vestibular all neurons),MSTd,0,,0,,25,0.5283(0.463-0.5936),,,,0.798(-0.395;1.991),0.498(0.416;0.579),Linear probe,moving platform,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,>>1,Neuron-Anti-neuron,Saccades,Fixed for the whole period,not aplicable,,"(7,0)","(-7,0)",,,,,,
,,Y,"3(only visual, task sensitive neurons)",MSTd,1,because filtering only sensitive neurons is the most comparable with other studies,1,,66,0.5079(0.469-0.5468),,,,-0.003(-0.071;0.064),0.511(0.462;0.560),Linear probe,3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,9.316,Neuron-Anti-neuron,Saccades,Fixed for the whole period,whole visual field,,"(7,0)","(-7,0)",,,,,,
,,Al,"3(only visual, task sensitive neurons)",MSTd,1,because filtering only sensitive neurons is the most comparable with other studies,1,,18, 0.4559(0.3554-0.5564),,,,-0.056(-0.564;0.452),0.469(0.306;0.632),Linear probe,3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,7.368,Neuron-Anti-neuron,Saccades,Fixed for the whole period,whole visual field,,"(7,0)","(-7,0)",,,,,,
,,Y,"4(only vestibular, task sensitive neurons)",MSTd,1,because filtering only sensitive neurons is the most comparable with other studies,1,,27,0.5770(0.5321-0.6219),,,,0.123(-0.139;0.385),0.546(0.464;0.627),Linear probe,moving platform,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,5.587,Neuron-Anti-neuron,Saccades,Fixed for the whole period,not aplicable,,"(7,0)","(-7,0)",,,,,,
,,Al,"4(only vestibular, task sensitive neurons)",MSTd,1,because filtering only sensitive neurons is the most comparable with other studies,1,,4,0.5430(0.3225-0.7635),,,,1.658(-13.334;16.650),0.305(-1.923;2.532),Linear probe,moving platform,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,7.741,Neuron-Anti-neuron,Saccades,Fixed for the whole period,not aplicable,,"(7,0)","(-7,0)",,,,,,
,,Y,"1(only visual, all neurons)",VIP,0,,0,,160,0.5882 (0.5558 0.6207),,,,0.252(0.113;0.391),0.551(0.512;0.589),Linear probe,3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,>>1,Neuron-Anti-neuron,Saccades,Fixed for the whole period,whole visual field,,"(7,0)","(-7,0)",,,,Nat Commun. 2017 Sep 28;8(1):715,,
,,Al,"1(only visual, all neurons)",VIP,0,,0,,103,0.6169 (0.5734 0.6604),,,,0.288(0.130;0.446),0.570(0.521;0.619),Linear probe,3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,>>1,Neuron-Anti-neuron,Saccades,Fixed for the whole period,whole visual field,,"(7,0)","(-7,0)",,,,,,
,,Y,2(only vestibular all neurons),VIP,0,,0,,176,0.5870 (0.5605 0.6135),,,,0.371(0.232;0.510),0.532(0.500;0.564),Linear probe,moving platform,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,>>1,Neuron-Anti-neuron,Saccades,Fixed for the whole period,not aplicable,,"(7,0)","(-7,0)",,,,,,
,,Al,2(only vestibular all neurons),VIP,0,,0,,110,0.5832 (0.5459 0.6206),,,,0.613(0.355;0.872),0.537(0.494;0.580),Linear probe,moving platform,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,>>1,Neuron-Anti-neuron,Saccades,Fixed for the whole period,not aplicable,,"(7,0)","(-7,0)",,,,,,
,,Y,"3(only visual, task sensitive neurons)",VIP,1,,1,,89,0.6426 (0.5981 0.6871),,,,0.162(-0.005;0.328),0.607(0.546;0.669),Linear probe,3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,7.401,Neuron-Anti-neuron,Saccades,Fixed for the whole period,whole visual field,,"(7,0)","(-7,0)",,,,,,
,,Al,"3(only visual, task sensitive neurons)",VIP,1,,1,,55,0.6901 (0.6351 0.7451),,,,0.204(0.036;0.372),0.635(0.565;0.706),Linear probe,3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,7.817,Neuron-Anti-neuron,Saccades,Fixed for the whole period,whole visual field,,"(7,0)","(-7,0)",,,,,,
,,Y,"4(only vestibular, task sensitive neurons)",VIP,1,,1,,76,0.6573 (0.6131 0.7014),,,,0.283(0.087;0.478),0.584(0.518;0.650),Linear probe,moving platform,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,6.009,Neuron-Anti-neuron,Saccades,Fixed for the whole period,not aplicable,,"(7,0)","(-7,0)",,,,,,
,,Al,"4(only vestibular, task sensitive neurons)",VIP,1,,1,,42,0.6742 (0.6180 0.7303),,,,0.458(0.155;0.762),0.604(0.523;0.684),Linear probe,moving platform,direction of self motion,angle of motion,not tailored/not applicable,,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,8.928,Neuron-Anti-neuron,Saccades,Fixed for the whole period,not aplicable,,"(7,0)","(-7,0)",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peltier et al (2024),A Neural Mechanism for Optic Flow Parsing in Macaque Visual Cortex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yu & Gu (2018),Probing Sensory Readout via Combined Choice-Correlation Measures and Microstimulation Perturbation,R,"1(all neurons, fine task)",MST,1,,,,144,0.5163 (SEM= 0.0063),,,,,,single electrode,10% coherent 3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,~1.5-4,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),1 (fine discrimination),No,0.51,,,~0,,56.57,1.8,31.42,,Saccades,Fixed for the whole period,whole visual field,,(10.0),(0.10),,,,,,
,,R,"1(all neurons, fine task)",MT,1,,,,128,0.5064(SEM=0.0051),,,,,,single electrode,10% coherent 3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,~6-10,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),1 (fine discrimination),No,0.52,,,~0,,53.48,1.8,29.71,,Saccades,Fixed for the whole period,whole visual field,,(10.0),(0.10),,,,,,
,,R,"1(all neurons, fine task)",VIP,1,,,,53,0.5962(SEM=0.0118),,,,,,single electrode,10% coherent 3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,~1.5-4,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),1 (fine discrimination),No,0.34,,,~0,,53.28,1.8,29.6,,Saccades,Fixed for the whole period,whole visual field,,(10.0),(0.10),,,,,,
,,R,"2(all neurons, coarse task)",MST,1,,,,35,0.5127(SEM=0.0118),,,,,,single electrode,random dots,direction of movement,coherence,not tailored/not applicable,~1.5-4,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),2 (coarse discrimination),No,0.37,,,~3-10,,83.66,3.5,23.9,,Saccades,Fixed for the whole period,whole visual field,,(10.0),(0.10),,,,,,
,,R,"2(all neurons, coarse task)",MT,1,,,,0,NA,,,,,,single electrode,random dots,direction of movement,coherence,not tailored/not applicable,~6-10,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),2 (coarse discrimination),No,NaN,,,~3-10,,NaN,3.5,NaN,,Saccades,Fixed for the whole period,whole visual field,,(10.0),(0.10),,,,,,
,,R,"2(all neurons, coarse task)",VIP,1,,,,49,0.6511(SEM=0.0491),,,,,,single electrode,random dots,direction of movement,coherence,not tailored/not applicable,~1.5-4,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),2 (coarse discrimination),No,0.54,,,~3-10,,69.08,3.5,19.74,,Saccades,Fixed for the whole period,whole visual field,,(10.0),(0.10),,,,,,
,,Y,"1(all neurons, fine task)",MST,1,,,,165,0.512 (SEM= 0.0053),,,,,,single electrode,10% coherent 3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,~1.5-4,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),1 (fine discrimination),No,0.52,,,~0,,59.39,1.8,32.99,,Saccades,Fixed for the whole period,whole visual field,,(10.0),(0.10),,,,,,
,,Y,"1(all neurons, fine task)",MT,1,,,,141,0.503(SEM=0.0045),,,,,,single electrode,10% coherent 3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,~6-10,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),1 (fine discrimination),No,0.45,,,~0,,70.21,1.8,39.056,,Saccades,Fixed for the whole period,whole visual field,,(10.0),(0.10),,,,,,
,,Y,"1(all neurons, fine task)",VIP,1,,,,120,0.6207(SEM=0.0112),,,,,,single electrode,10% coherent 3D optic flow starfield,direction of self motion,angle of motion,not tailored/not applicable,~1.5-4,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),1 (fine discrimination),No,0.47,,,~0,,44.49,1.8,24.72,,Saccades,Fixed for the whole period,whole visual field,,(10.0),(0.10),,,,,,
,,Y,"2(all neurons, coarse task)",MST,1,,,,56,0.5374(SEM=0.0086),,,,,,single electrode,random dots,direction of movement,coherence,not tailored/not applicable,~1.5-4,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),2 (coarse discrimination),No,0.5,,,~3-10,,73.09,3.2, 22.84,,Saccades,Fixed for the whole period,whole visual field,,(10.0),(0.10),,,,,,
,,Y,"2(all neurons, coarse task)",MT,1,,,,40,0.533(SEM=0.0091),,,,,,single electrode,random dots,direction of movement,coherence,not tailored/not applicable,~6-10,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),2 (coarse discrimination),No,0.5,,,~3-10,,66.3,3.2,20.72,,Saccades,Fixed for the whole period,whole visual field,,(10.0),(0.10),,,,,,
,,Y,"2(all neurons, coarse task)",VIP,1,,,,55,0.6522(SEM=0.0190),,,,,,single electrode,random dots,direction of movement,coherence,not tailored/not applicable,~1.5-4,3 (not tailored),3 (not tailored),from task data,1000,1000,1 (not bi-stable),2 (coarse discrimination),No,0.39,,,~3-10,,43.95,3.2,13.73,,Saccades,Fixed for the whole period,whole visual field,,(10.0),(0.10),,,,,,
,,two combined,"1(all neurons, fine task)",MST,4,CP-d',,,,0.514 (SEM=0.004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,threshold,Spearman correlation, -0.15 (p = 0.01) ,,,
,,two combined,"1(all neurons, fine task)",MT,4,CP-d',,,,0.504 (SEM=0.003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,threshold,Spearman correlation,-0.14 (p = 0.03),,,
,,two combined,"1(all neurons, fine task)",VIP,4,CP-d',,,,0.652 (SEM=0.009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,threshold,Spearman correlation,-0.71 (p = 0) ,,,
,,two combined,"2(all neurons, coarse task)",MST,4,CP-d',,,,0.528 (SEM=0.007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,threshold,Spearman correlation,-0.36 (p = 0.004),,,
,,two combined,"2(all neurons, coarse task)",MT,4,CP-d',,,,0.533 (SEM=0.009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,threshold,Spearman correlation,-0.53 (p = 0.01),,,
,,two combined,"2(all neurons, coarse task)",VIP,4,CP-d',,,,0.613(SEM=0.018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,threshold,Spearman correlation,-0.65 (p = 0),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uka et al.  (2005),Neural Correlates of Fine Depth Discrimination in Monkey Inferior Temporal Cortex,1,1(all neurons),IT(TE),1,,,,25,0.58,,,,,,single electrode,shape,near/far disparity,disparity,3 (smaller than single neuron RF),,1 (individual neuron),3 (not tailored),from separate sessions,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,,,Saccades,Fixed for the whole period,"(0,0)",,"(+,0)","(+,0)",,,,,,
,,2,1(all neurons),IT(TE),1,,,,32,0.54,,,,,,single electrode,shape,near/far disparity,disparity,3 (smaller than single neuron RF),,1 (individual neuron),3 (not tailored),from separate sessions,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,,,Saccades,Fixed for the whole period,"(0,0)",,"(-,0)","(-,0)",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasaki & Uka (2009),Dynamic Readout of Behaviorally Relevant Signals from Area MT during Task Switching,two combined,1(direction task),MT,1,,,,117,0.53 (p < 0.001),,,,,,single electrode,moving dots stereogram,direction of movement,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,500,500,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,0.9,,Saccades,Fixed for the whole period,,,"(0, 5)","(0, -5)",,,,,,
,,two combined,2(depth task),MT,1,,,,117,0.57 (p < 0.001),,,,,,single electrode,moving dots stereogram,near/far disparity,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,500,500,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,2.05,,Saccades,Fixed for the whole period,,,"(0, 5)","(0, -5)",,,,,,
,,two combined,"3(congruent neurons, direction task)",MT,0,,,,58,0.55,0.54,,,,,single electrode,moving dots stereogram,direction of movement,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,500,500,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,Fixed for the whole period,,,"(0, 5)","(0, -5)",,,,,,
,,two combined,"4(congruent neurons, depth task)",MT,0,,,,58,0.56,0.57,,,,,single electrode,moving dots stereogram,near/far disparity,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,500,500,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,Fixed for the whole period,,,"(0, 5)","(0, -5)",,,,,,
,,two combined,"5(incongruent neurons, direction task)",MT,0,,,,59,0.51,0.50,,,,,single electrode,moving dots stereogram,direction of movement,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,500,500,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,Fixed for the whole period,,,"(0, 5)","(0, -5)",,,,,,
,,two combined,"6(incongruent neurons, depth task)",MT,0,,,,59,0.55,0.54,,,,,single electrode,moving dots stereogram,near/far disparity,coherence,1 (individual neuron RF),,1 (individual neuron),1 (individual neuron),from separate sessions,500,500,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,Fixed for the whole period,,,"(0, 5)","(0, -5)",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
